                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10000      1.5000000000000000E+001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      433                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.5000000000000000E+001                  3.4474769709615863E+001                 -9.8999999999999986E+001                  9.7590609833577726E-004                  9.9996410070863551E-001                  1.6802432558023254E-003                  3.7650663792018226E-005                  7.8128379403029878E-008                  9.9996410070863551E-001                  1.6802432558023254E-003                  3.7650663792018226E-005                  7.8128379403029878E-008                 -2.1749879477596203E+001                 -9.8999999999999986E+001                 -3.7628749457997642E+001                 -2.1749879477596203E+001                 -2.1749879477596203E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5530871646314561E+000                  4.2104840197407851E+000                  2.5223265170601068E+000                  5.6932757834859260E-001                  2.3119083822064543E-001                  5.4784789366986670E+000                 -5.4151350326625503E+000                  8.2438637684952578E+000                 -5.4151350326625503E+000                  5.4784789366986670E+000                  6.2095085823177809E-001                  8.5000496627254196E-001                  1.2966439685554805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120198E-003                  9.3604466091399743E-003                  1.0499999999999993E+001                  4.1995530354712356E+000                                        0                                        0                                        6 
                                       5                                      433                  7.4416000000000000E-005                 -4.6832750158095005E+000                  1.5000000000000000E+001                  3.4474769709615863E+001                 -9.8999999999999986E+001                  9.7537149882582640E-004                  9.9996410070863551E-001                  1.6802472758239613E-003                  3.7650663792692898E-005                  7.8128380077752422E-008                  9.9996410070863551E-001                  1.6802472758239613E-003                  3.7650663792692898E-005                  7.8128380077752422E-008                 -2.1749875248866591E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1749875248866591E+001                 -2.1749875248866591E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5530406701184742E+000                  4.2103080491183515E+000                  2.5223315207748533E+000                  5.6931757091909951E-001                  2.1373662805898005E-001                  5.4784778723348868E+000                 -5.4151324326035750E+000                  8.2438646187341629E+000                 -5.4151324326035750E+000                  5.4784778723348868E+000                  6.2095085880048917E-001                  8.5000496627254207E-001                  1.2966439685554805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120415E-003                  9.3604466091399760E-003                  3.4416106108120189E-003                  9.3604466091399743E-003                  1.0499999999999993E+001                  4.1995530354712356E+000                                        0                                        0                                        6 
                                      10                                      433                  2.5958682111999992E-004                 -4.2873687855713767E+000                  1.5000000000000000E+001                  3.4474769709615863E+001                 -9.8999999999999986E+001                  9.7358602546717852E-004                  9.9996410070863551E-001                  1.6802576817981744E-003                  3.7650663793087344E-005                  7.8128380472283084E-008                  9.9996410070863551E-001                  1.6802576817981744E-003                  3.7650663793087344E-005                  7.8128380472283084E-008                 -2.1749862542778750E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1749862542778750E+001                 -2.1749862542778750E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5528440433989252E+000                  4.2095481499366922E+000                  2.5223448246231213E+000                  5.6929096322256323E-001                  2.0131651373790060E-001                  5.4784758728165297E+000                 -5.4151264969171402E+000                  8.2438671429000685E+000                 -5.4151264969171402E+000                  5.4784758728165297E+000                  6.2095085987536314E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120180E-003                  9.3604466091399760E-003                  1.0499999999999995E+001                  4.1995530354712356E+000                                        0                                        0                                        6 
                                      15                                      432                  7.2035107872931792E-004                 -3.8914625553332525E+000                  1.5000000000000000E+001                  3.4474769709615863E+001                 -9.8999999999999986E+001                  9.6737504371997071E-004                  9.9996410070863551E-001                  1.6802783504778391E-003                  3.7650663793703821E-005                  7.8128381088844798E-008                  9.9996410070863551E-001                  1.6802783504778391E-003                  3.7650663793703821E-005                  7.8128381088844798E-008                 -2.1749831382895017E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1749831382895017E+001                 -2.1749831382895017E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5523955381044798E+000                  4.2078286846941761E+000                  2.5223821025907549E+000                  5.6921640728729661E-001                  2.5257053430070231E-001                  5.4784742010109122E+000                 -5.4151169350812323E+000                  8.2438733084814348E+000                 -5.4151169350812323E+000                  5.4784742010109122E+000                  6.2095086080291784E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120176E-003                  9.3604466091399760E-003                  1.0499999999999993E+001                  4.1995530354712356E+000                                        0                                        0                                        6 
                                      20                                      432                  1.8668799962237360E-003                 -3.4955563250951283E+000                  1.5000000000000000E+001                  3.4474769709615863E+001                 -9.8999999999999986E+001                  9.3859566427059369E-004                  9.9996410070863551E-001                  1.6803091205866215E-003                  3.7650663794315488E-005                  7.8128381700583534E-008                  9.9996410070863551E-001                  1.6803091205866215E-003                  3.7650663794315488E-005                  7.8128381700583534E-008                 -2.1749764846239660E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1749764846239660E+001                 -2.1749764846239660E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5524174685835903E+000                  4.2081820194196160E+000                  2.5225149089952539E+000                  5.6895079447829811E-001                  3.6356706742233824E-001                  5.4784754866874881E+000                 -5.4151036933971568E+000                  8.2438867263498992E+000                 -5.4151036933971568E+000                  5.4784754866874881E+000                  6.2095086021917423E-001                  8.5000496627254196E-001                  1.2966439685554805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120167E-003                  9.3604466091399743E-003                  1.0499999999999995E+001                  4.1995530354712356E+000                                        0                                        0                                        5 
                                      25                                      432                  4.7198108322034464E-003                 -3.0996500948570045E+000                  1.5000000000000000E+001                  3.4474769709615863E+001                 -9.8999999999999986E+001                  7.6075436646596065E-004                  9.9996410070863551E-001                  1.6803033165099239E-003                  3.7650663794714311E-005                  7.8128382099488300E-008                  9.9996410070863551E-001                  1.6803033165099239E-003                  3.7650663794714311E-005                  7.8128382099488300E-008                 -2.1749624573009154E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1749624573009154E+001                 -2.1749624573009154E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5548004627587848E+000                  4.2185058505194473E+000                  2.5229108361947805E+000                  5.6815894007924550E-001                  3.9233200964612686E-001                  5.4784831604538216E+000                 -5.4150826825957274E+000                  8.2439156508266649E+000                 -5.4150826825957274E+000                  5.4784831604538216E+000                  6.2095085636692737E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120159E-003                  9.3604466091399743E-003                  1.0499999999999991E+001                  4.1995530354712347E+000                                        0                                        0                                        5 
                                      30                                      433                  1.1818815689988476E-002                 -2.7037438646188803E+000                  1.5000000000000000E+001                  3.4474769709615863E+001                 -9.8999999999999986E+001                  5.5938101215175298E-004                  9.9996190504955418E-001                  3.4114433975166440E-004                  2.3825547361429138E-005                  7.8128382699092508E-008                  9.9996190504955418E-001                  3.4114433975166440E-004                  2.3825547361429138E-005                  7.8128382699092508E-008                 -2.1749295006981519E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1749295006981519E+001                 -2.1749295006981519E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5604159309187895E+000                  4.2427453371992447E+000                  2.5237996432146699E+000                  5.6638132603946623E-001                  3.2331014940338515E-001                  5.4785041485855173E+000                 -5.4150376523562427E+000                  8.2439837960376501E+000                 -5.4150376523562427E+000                  5.4785041485855173E+000                  6.2095084573001191E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120406E-003                  9.3604466091399760E-003                  3.4416106108120150E-003                  9.3604466091399760E-003                  1.0499999999999995E+001                  4.1995530354712356E+000                                        0                                        0                                        4 
                                      35                                      432                  2.9483411457712123E-002                 -2.3078376343807565E+000                  1.5000000000000000E+001                  3.4474769709615863E+001                 -9.8999999999999986E+001                  3.5646241815052700E-004                  9.9995300329441705E-001                  8.2938970347856602E-004                  1.6912989145466242E-005                  7.8128383692461818E-008                  9.9995300329441705E-001                  8.2938970347856602E-004                  1.6912989145466242E-005                  7.8128383692461818E-008                 -2.1748518281408991E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1748518281408991E+001                 -2.1748518281408991E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5679568771346304E+000                  4.2761514393851199E+000                  2.5254208018759252E+000                  5.6313900871695544E-001                  2.1869332166139804E-001                  5.4785549425051654E+000                 -5.4149317037435836E+000                  8.2441460445870334E+000                 -5.4149317037435836E+000                  5.4785549425051654E+000                  6.2095081983204636E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120141E-003                  9.3604466091399743E-003                  1.0499999999999991E+001                  4.1995530354712347E+000                                        0                                        0                                        4 
                                      40                                      437                  7.3438578398454205E-002                 -1.9119314041426323E+000                  1.5000000000000000E+001                  3.4474769709615863E+001                 -9.8999999999999986E+001                  1.5855630618576521E-004                  9.9992768784522168E-001                  2.3314448727708700E-004                  1.0000430928976924E-005                  7.8128384159369924E-008                  9.9992768784522168E-001                  2.3314448727708700E-004                  1.0000430928976924E-005                  7.8128384159369924E-008                 -2.1746753521706538E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1746753521706538E+001                 -2.1746753521706538E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5745666816249826E+000                  4.3073554371310747E+000                  2.5278031917681982E+000                  5.5837422893241007E-001                  1.1643249276159023E-001                  5.4786739798625170E+000                 -5.4146835575524408E+000                  8.2445261516359416E+000                 -5.4146835575524408E+000                  5.4786739798625170E+000                  6.2095075838063285E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120133E-003                  9.3604466091399760E-003                  1.0499999999999991E+001                  4.1995530354712329E+000                                        0                                        0                                        4 
